Ins+3rd+Pl+Fut+Imp	InsImlwAt
Ins+3rd+Pl+Fut+Perf	InsIml
Ins+3rd+Pl+Prs+Perf	Inslit
Ins+3rd+Pl+Prs+Imp	InslinwAt
Ins+3rd+Pl+Pst+Imp	InslinEwAt
Ins+3rd+Pl+Pst+Perf	InslinE
Ins+3rd+Du+Fut+Imp	InsImwAt
Ins+3rd+Du+Fut+Perf	InsIm
Ins+3rd+Du+Prs+Perf	InslIt
Ins+3rd+Du+Prs+Imp	InslInwAt
Ins+3rd+Du+Pst+Imp	InslInawAt
Ins+3rd+Du+Pst+Perf	InslIna
Ins+3rd+Sg+Fut+Imp	InsimawAt
Ins+3rd+Sg+Fut+Perf	Insima
Ins+3rd+Sg+Prs+Imp	InsawAt
Ins+3rd+Sg+Prs+Perf	Insa
Ins+3rd+Sg+Pst+Imp	InsamawAt
Ins+3rd+Sg+Pst+Perf	Insama
Ins+2nd+Pl+Fut+Imp	InsITlwAt
Ins+2nd+Pl+Fut+Perf	InsITl
Ins+2nd+Pl+Prs+Imp	InseaIwAt
Ins+2nd+Pl+Prs+Perf	InseaI
Ins+2nd+Pl+Pst+Imp	InseaImEwAt
Ins+2nd+Pl+Pst+Perf	InseaImE
Ins+2nd+Du+Prs+Imp	InsUrTwAt
Ins+2nd+Du+Prs+Perf	InsUrT
Ins+2nd+Du+Fut+Imp	InsITwAt
Ins+2nd+Du+Fut+Perf	InsIT
Ins+2nd+Du+Pst+Imp	InsUrTawAt
Ins+2nd+Du+Pst+Perf	InsUrTa
Ins+2nd+Sg+Fut+Imp	InsiniwAt
Ins+2nd+Sg+Fut+Perf	Insini
Ins+2nd+Sg+Prs+Imp	InsEwAt
Ins+2nd+Sg+Prs+Perf	InsE
Ins+2nd+Sg+Pst+Imp	InsEmawAt
Ins+2nd+Sg+Pst+Perf	InsEma
Ins+1st+Pl+Exc+Fut+Imp	InsaITiwAt
Ins+1st+Pl+Exc+Fut+Perf	InsaITi
Ins+1st+Pl+Exc+Prs+Imp	InsaITwAt
Ins+1st+Pl+Exc+Prs+Perf	InsaIT
Ins+1st+Pl+Exc+Pst+Imp	InsaITEwAt
Ins+1st+Pl+Exc+Pst+Perf	InsaITE
Ins+1st+Pl+Inc+Fut+Imp	InsEITiwAt
Ins+1st+Pl+Inc+Fut+Perf	InsEITi
Ins+1st+Pl+Inc+Prs+Imp	InsEITwAt
Ins+1st+Pl+Inc+Prs+Perf	InsEIT
Ins+1st+Pl+Inc+Pst+Imp	InsEITEwAt
Ins+1st+Pl+Inc+Pst+Perf	InsEITE
Ins+1st+Du+Exc+Fut+Perf	InsIlt
Ins+1st+Du+Exc+Fut+Imp	InsIlnwAt
Ins+1st+Du+Exc+Prs+Imp	InsEmsawAt
Ins+1st+Du+Exc+Prs+Perf	InsEmsa
Ins+1st+Du+Exc+Pst+Perf	InsEmsAlt
Ins+1st+Du+Exc+Pst+Imp	InsEmsAlnwAt
Ins+1st+Du+Inc+Fut+Imp	InsIlawAt
Ins+1st+Du+Inc+Fut+Perf	InsIla
Ins+1st+Du+Inc+Prs+Imp	InsEmswAt
Ins+1st+Du+Inc+Prs+Perf	InsEms
Ins+1st+Du+Inc+Pst+Imp	InsEmsalawAt
Ins+1st+Du+Inc+Pst+Perf	InsEmsala
Ins+1st+Sg+Fut+Imp	InsiwiwAt
Ins+1st+Sg+Fut+Perf	Insiwi
Ins+1st+Sg+Prs+Perf	InsEt
Ins+1st+Sg+Prs+Imp	InsEnwAt
Ins+1st+Sg+Pst+Imp	InsEmwAt
Ins+1st+Sg+Pst+Perf	InsEm
lEk+2nd+Du+Fut+Imp	lEkITwAt
lEk+2nd+Du+Fut+Perf	lEkIT
lEk+2nd+Du+Pst+Imp	lEkUrTawAt
lEk+2nd+Du+Pst+Perf	lEkUrTa
lEk+3rd+Pl+Fut+Imp	lENImlwAt
lEk+3rd+Pl+Fut+Perf	lENIml
lEk+3rd+Pl+Prs+Perf	lENlit
lEk+3rd+Pl+Prs+Imp	lENlinwAt
lEk+3rd+Pl+Pst+Imp	lENlinEwAt
lEk+3rd+Pl+Pst+Perf	lENlinE
lEk+3rd+Du+Fut+Imp	lENImwAt
lEk+3rd+Du+Fut+Perf	lENIm
lEk+3rd+Du+Prs+Perf	lENlIt
lEk+3rd+Du+Prs+Imp	lENlInwAt
lEk+3rd+Du+Pst+Imp	lENlInawAt
lEk+3rd+Du+Pst+Perf	lENlIna
lEk+3rd+Sg+Fut+Imp	lENimawAt
lEk+3rd+Sg+Fut+Perf	lENima
lEk+3rd+Sg+Prs+Imp	lENawAt
lEk+3rd+Sg+Prs+Perf	lENa
lEk+3rd+Sg+Pst+Imp	lENamawAt
lEk+3rd+Sg+Pst+Perf	lENama
lEk+2nd+Pl+Fut+Imp	lENITlwAt
lEk+2nd+Pl+Fut+Perf	lENITl
lEk+2nd+Pl+Prs+Imp	lENeaIwAt
lEk+2nd+Pl+Prs+Perf	lENeaI
lEk+2nd+Pl+Pst+Imp	lENeaImEwAt
lEk+2nd+Pl+Pst+Perf	lENeaImE
lEk+2nd+Du+Prs+Imp	lENUrTwAt
lEk+2nd+Du+Prs+Perf	lENUrT
lEk+2nd+Sg+Fut+Imp	lENiniwAt
lEk+2nd+Sg+Fut+Perf	lENini
lEk+2nd+Sg+Prs+Imp	lENEwAt
lEk+2nd+Sg+Prs+Perf	lENE
lEk+2nd+Sg+Pst+Imp	lENEmawAt
lEk+2nd+Sg+Pst+Perf	lENEma
lEk+1st+Pl+Exc+Fut+Imp	lENaITiwAt
lEk+1st+Pl+Exc+Fut+Perf	lENaITi
lEk+1st+Pl+Exc+Prs+Imp	lENaITwAt
lEk+1st+Pl+Exc+Prs+Perf	lENaIT
lEk+1st+Pl+Exc+Pst+Imp	lENaITEwAt
lEk+1st+Pl+Exc+Pst+Perf	lENaITE
lEk+1st+Pl+Inc+Fut+Imp	lENEITiwAt
lEk+1st+Pl+Inc+Fut+Perf	lENEITi
lEk+1st+Pl+Inc+Prs+Imp	lENEITwAt
lEk+1st+Pl+Inc+Prs+Perf	lENEIT
lEk+1st+Pl+Inc+Pst+Imp	lENEITEwAt
lEk+1st+Pl+Inc+Pst+Perf	lENEITE
lEk+1st+Du+Exc+Fut+Perf	lENIlt
lEk+1st+Du+Exc+Fut+Imp	lENIlnwAt
lEk+1st+Du+Exc+Prs+Imp	lENEmsawAt
lEk+1st+Du+Exc+Prs+Perf	lENEmsa
lEk+1st+Du+Exc+Pst+Perf	lENEmsAlt
lEk+1st+Du+Exc+Pst+Imp	lENEmsAlnwAt
lEk+1st+Du+Inc+Fut+Imp	lENIlawAt
lEk+1st+Du+Inc+Fut+Perf	lENIla
lEk+1st+Du+Inc+Prs+Imp	lENEmswAt
lEk+1st+Du+Inc+Prs+Perf	lENEms
lEk+1st+Du+Inc+Pst+Imp	lENEmsalawAt
lEk+1st+Du+Inc+Pst+Perf	lENEmsala
lEk+1st+Sg+Fut+Imp	lENiwiwAt
lEk+1st+Sg+Fut+Perf	lENiwi
lEk+1st+Sg+Prs+Perf	lENEt
lEk+1st+Sg+Prs+Imp	lENEnwAt
lEk+1st+Sg+Pst+Imp	lENEmwAt
lEk+1st+Sg+Pst+Perf	lENEm
simU+Pl+Poss	simUsfE
simU+Pl+Adp	simU@
simU+Pl+Acc	simUr
simU+Pl+Nom	simUHe
simU+Du+Poss	simUwE
simU+Du+Adp	simUi
simU+Du+Acc	simUir
simU+Du+Nom	simUm
simU+Sg+Poss	simUIt
simU+Sg+Adp	simUA
simU+Sg+Acc	simUAr
simU+Sg+Nom	simU
saIp+Sg+Nom	saIp
saIp+Pl+Poss	saImsfE
saIp+Pl+Adp	saIm@
saIp+Pl+Acc	saImr
saIp+Pl+Nom	saImHe
saIp+Du+Poss	saImwE
saIp+Du+Adp	saImi
saIp+Du+Acc	saImir
saIp+Du+Nom	saImm
saIp+Sg+Poss	saImIt
saIp+Sg+Adp	saImA
saIp+Sg+Acc	saImAr
saZIm+Pl+Poss	saZImsfE
saZIm+Pl+Adp	saZIm@
saZIm+Pl+Acc	saZImr
saZIm+Pl+Nom	saZImHe
saZIm+Du+Poss	saZImwE
saZIm+Du+Adp	saZImi
saZIm+Du+Acc	saZImir
saZIm+Du+Nom	saZImm
saZIm+Sg+Poss	saZImIt
saZIm+Sg+Adp	saZImA
saZIm+Sg+Acc	saZImAr
saZIm+Sg+Nom	saZIm
eNek+Sg+Nom	eNek
eNek+Pl+Poss	eNeNsfE
eNek+Pl+Adp	eNeN@
eNek+Pl+Acc	eNeNr
eNek+Pl+Nom	eNeNHe
eNek+Du+Poss	eNeNwE
eNek+Du+Adp	eNeNi
eNek+Du+Acc	eNeNir
eNek+Du+Nom	eNeNm
eNek+Sg+Poss	eNeNIt
eNek+Sg+Adp	eNeNA
eNek+Sg+Acc	eNeNAr
eIN+3rd+Pl+Fut+Imp	eINImlwAt
eIN+3rd+Pl+Fut+Perf	eINIml
eIN+3rd+Pl+Prs+Perf	eINlit
eIN+3rd+Pl+Prs+Imp	eINlinwAt
eIN+3rd+Pl+Pst+Imp	eINlinEwAt
eIN+3rd+Pl+Pst+Perf	eINlinE
eIN+3rd+Du+Fut+Imp	eINImwAt
eIN+3rd+Du+Fut+Perf	eINIm
eIN+3rd+Du+Prs+Perf	eINlIt
eIN+3rd+Du+Prs+Imp	eINlInwAt
eIN+3rd+Du+Pst+Imp	eINlInawAt
eIN+3rd+Du+Pst+Perf	eINlIna
eIN+3rd+Sg+Fut+Imp	eINimawAt
eIN+3rd+Sg+Fut+Perf	eINima
eIN+3rd+Sg+Prs+Imp	eINawAt
eIN+3rd+Sg+Prs+Perf	eINa
eIN+3rd+Sg+Pst+Imp	eINamawAt
eIN+3rd+Sg+Pst+Perf	eINama
eIN+2nd+Pl+Fut+Imp	eINITlwAt
eIN+2nd+Pl+Fut+Perf	eINITl
eIN+2nd+Pl+Prs+Imp	eINeaIwAt
eIN+2nd+Pl+Prs+Perf	eINeaI
eIN+2nd+Pl+Pst+Imp	eINeaImEwAt
